entry_time,exit_time,side,entry_price,exit_price,pnl_points,pnl_dollars,exit_reason,bars_held
2025-08-01 16:51:00+02:00,2025-08-01 16:53:00+02:00,SHORT,6265.5,6268.75,-3.25,-16.25,opposite_signal,1
2025-08-01 16:52:00+02:00,2025-08-01 16:58:00+02:00,LONG,6269.5,6266.75,-2.75,-13.75,opposite_signal,5
2025-08-01 16:57:00+02:00,2025-08-01 17:08:00+02:00,SHORT,6267.25,6270.75,-3.5,-17.5,time_exit,10
2025-08-01 17:07:00+02:00,2025-08-01 17:12:00+02:00,SHORT,6271.25,6271.75,-0.5,-2.5,opposite_signal,4
2025-08-01 17:11:00+02:00,2025-08-01 17:13:00+02:00,LONG,6275.75,6270.25,-5.5,-27.5,opposite_signal,1
2025-08-01 17:12:00+02:00,2025-08-01 17:23:00+02:00,SHORT,6271.75,6265.25,6.5,32.5,time_exit,10
2025-08-01 17:22:00+02:00,2025-08-04 16:01:00+02:00,SHORT,6265.25,6338.25,-73.0,-365.0,opposite_signal,9
2025-08-04 16:00:00+02:00,2025-08-04 16:11:00+02:00,LONG,6339.0,6333.5,-5.5,-27.5,time_exit,10
2025-08-04 16:10:00+02:00,2025-08-04 16:21:00+02:00,LONG,6333.0,6338.75,5.75,28.75,time_exit,10
2025-08-04 16:20:00+02:00,2025-08-04 16:31:00+02:00,LONG,6339.25,6336.75,-2.5,-12.5,time_exit,10
2025-08-04 16:30:00+02:00,2025-08-04 16:41:00+02:00,LONG,6337.75,6335.25,-2.5,-12.5,time_exit,10
2025-08-04 16:40:00+02:00,2025-08-04 16:42:00+02:00,LONG,6339.25,6335.0,-4.25,-21.25,opposite_signal,1
2025-08-04 16:41:00+02:00,2025-08-04 16:43:00+02:00,SHORT,6335.25,6334.5,0.75,3.75,opposite_signal,1
2025-08-04 16:42:00+02:00,2025-08-04 16:44:00+02:00,LONG,6335.0,6334.0,-1.0,-5.0,opposite_signal,1
2025-08-04 16:43:00+02:00,2025-08-04 16:45:00+02:00,SHORT,6334.5,6333.0,1.5,7.5,opposite_signal,1
2025-08-04 16:44:00+02:00,2025-08-04 16:55:00+02:00,LONG,6334.0,6336.5,2.5,12.5,opposite_signal,10
2025-08-04 16:54:00+02:00,2025-08-04 17:05:00+02:00,SHORT,6336.0,6339.5,-3.5,-17.5,time_exit,10
2025-08-04 17:04:00+02:00,2025-08-04 17:08:00+02:00,SHORT,6339.5,6339.25,0.25,1.25,opposite_signal,3
2025-08-04 17:07:00+02:00,2025-08-04 17:09:00+02:00,LONG,6339.0,6340.25,1.25,6.25,opposite_signal,1
2025-08-04 17:08:00+02:00,2025-08-04 17:12:00+02:00,SHORT,6339.25,6341.75,-2.5,-12.5,opposite_signal,3
2025-08-04 17:11:00+02:00,2025-08-04 17:22:00+02:00,LONG,6342.0,6334.75,-7.25,-36.25,opposite_signal,10
2025-08-04 17:21:00+02:00,2025-08-04 17:23:00+02:00,SHORT,6333.5,6337.25,-3.75,-18.75,opposite_signal,1
2025-08-04 17:22:00+02:00,2025-08-05 16:02:00+02:00,LONG,6334.75,6357.25,22.5,112.5,time_exit,10
2025-08-05 16:01:00+02:00,2025-08-05 16:12:00+02:00,LONG,6354.75,6350.0,-4.75,-23.75,time_exit,10
2025-08-05 16:11:00+02:00,2025-08-05 16:22:00+02:00,LONG,6352.75,6343.75,-9.0,-45.0,time_exit,10
2025-08-05 16:21:00+02:00,2025-08-05 16:25:00+02:00,LONG,6344.5,6341.25,-3.25,-16.25,opposite_signal,3
2025-08-05 16:24:00+02:00,2025-08-05 16:26:00+02:00,SHORT,6341.0,6339.0,2.0,10.0,opposite_signal,1
2025-08-05 16:25:00+02:00,2025-08-05 16:27:00+02:00,LONG,6341.25,6337.5,-3.75,-18.75,opposite_signal,1
2025-08-05 16:26:00+02:00,2025-08-05 16:29:00+02:00,SHORT,6339.0,6344.25,-5.25,-26.25,opposite_signal,2
2025-08-05 16:28:00+02:00,2025-08-05 16:32:00+02:00,LONG,6340.75,6339.25,-1.5,-7.5,opposite_signal,3
2025-08-05 16:31:00+02:00,2025-08-05 16:42:00+02:00,SHORT,6337.5,6328.0,9.5,47.5,time_exit,10
2025-08-05 16:41:00+02:00,2025-08-05 16:52:00+02:00,SHORT,6330.5,6321.0,9.5,47.5,time_exit,10
2025-08-05 16:51:00+02:00,2025-08-05 17:02:00+02:00,SHORT,6319.25,6327.75,-8.5,-42.5,time_exit,10
2025-08-05 17:01:00+02:00,2025-08-05 17:12:00+02:00,SHORT,6324.5,6325.5,-1.0,-5.0,time_exit,10
2025-08-05 17:11:00+02:00,2025-08-05 17:20:00+02:00,SHORT,6324.75,6329.5,-4.75,-23.75,opposite_signal,8
2025-08-05 17:19:00+02:00,2025-08-05 17:30:00+02:00,LONG,6327.25,6324.25,-3.0,-15.0,time_exit,10
2025-08-05 17:29:00+02:00,2025-08-06 16:09:00+02:00,LONG,6325.0,6350.5,25.5,127.5,time_exit,10
2025-08-06 16:08:00+02:00,2025-08-06 16:19:00+02:00,LONG,6349.0,6338.25,-10.75,-53.75,time_exit,10
2025-08-06 16:18:00+02:00,2025-08-06 16:24:00+02:00,LONG,6340.5,6328.25,-12.25,-61.25,opposite_signal,5
2025-08-06 16:23:00+02:00,2025-08-06 16:25:00+02:00,SHORT,6326.5,6326.5,0.0,0.0,opposite_signal,1
2025-08-06 16:24:00+02:00,2025-08-06 16:33:00+02:00,LONG,6328.25,6331.5,3.25,16.25,opposite_signal,8
2025-08-06 16:32:00+02:00,2025-08-06 16:37:00+02:00,SHORT,6328.5,6340.0,-11.5,-57.5,opposite_signal,4
2025-08-06 16:36:00+02:00,2025-08-06 16:38:00+02:00,LONG,6342.5,6343.75,1.25,6.25,opposite_signal,1
2025-08-06 16:37:00+02:00,2025-08-06 16:39:00+02:00,SHORT,6340.0,6343.75,-3.75,-18.75,opposite_signal,1
2025-08-06 16:38:00+02:00,2025-08-06 16:40:00+02:00,LONG,6343.75,6345.75,2.0,10.0,opposite_signal,1
2025-08-06 16:39:00+02:00,2025-08-06 16:41:00+02:00,SHORT,6343.75,6344.75,-1.0,-5.0,opposite_signal,1
2025-08-06 16:40:00+02:00,2025-08-06 16:42:00+02:00,LONG,6345.75,6343.0,-2.75,-13.75,opposite_signal,1
2025-08-06 16:41:00+02:00,2025-08-06 16:46:00+02:00,SHORT,6344.75,6346.5,-1.75,-8.75,opposite_signal,4
2025-08-06 16:45:00+02:00,2025-08-06 16:47:00+02:00,LONG,6348.5,6346.75,-1.75,-8.75,opposite_signal,1
2025-08-06 16:46:00+02:00,2025-08-06 16:48:00+02:00,SHORT,6346.5,6347.0,-0.5,-2.5,opposite_signal,1
2025-08-06 16:47:00+02:00,2025-08-06 16:58:00+02:00,LONG,6346.75,6353.25,6.5,32.5,time_exit,10
2025-08-06 16:57:00+02:00,2025-08-06 17:08:00+02:00,LONG,6351.75,6351.75,0.0,0.0,time_exit,10
2025-08-06 17:07:00+02:00,2025-08-06 17:18:00+02:00,LONG,6350.5,6357.75,7.25,36.25,time_exit,10
2025-08-06 17:17:00+02:00,2025-08-06 17:28:00+02:00,LONG,6356.5,6365.5,9.0,45.0,time_exit,10
2025-08-06 17:27:00+02:00,2025-08-07 16:07:00+02:00,LONG,6363.25,6398.5,35.25,176.25,time_exit,10
2025-08-07 16:06:00+02:00,2025-08-07 16:17:00+02:00,LONG,6404.0,6390.25,-13.75,-68.75,time_exit,10
2025-08-07 16:16:00+02:00,2025-08-07 16:22:00+02:00,LONG,6390.75,6384.0,-6.75,-33.75,opposite_signal,5
2025-08-07 16:21:00+02:00,2025-08-07 16:27:00+02:00,SHORT,6384.5,6378.0,6.5,32.5,opposite_signal,5
2025-08-07 16:26:00+02:00,2025-08-07 16:37:00+02:00,LONG,6379.0,6378.0,-1.0,-5.0,time_exit,10
2025-08-07 16:36:00+02:00,2025-08-07 16:38:00+02:00,LONG,6381.0,6379.75,-1.25,-6.25,opposite_signal,1
2025-08-07 16:37:00+02:00,2025-08-07 16:46:00+02:00,SHORT,6378.0,6378.25,-0.25,-1.25,opposite_signal,8
2025-08-07 16:45:00+02:00,2025-08-07 16:47:00+02:00,LONG,6385.75,6376.0,-9.75,-48.75,opposite_signal,1
2025-08-07 16:46:00+02:00,2025-08-07 16:57:00+02:00,SHORT,6378.25,6369.0,9.25,46.25,time_exit,10
2025-08-07 16:56:00+02:00,2025-08-07 17:07:00+02:00,SHORT,6370.25,6369.25,1.0,5.0,time_exit,10
2025-08-07 17:06:00+02:00,2025-08-07 17:17:00+02:00,SHORT,6370.0,6371.25,-1.25,-6.25,time_exit,10
2025-08-07 17:16:00+02:00,2025-08-07 17:27:00+02:00,SHORT,6367.25,6362.25,5.0,25.0,time_exit,10
2025-08-07 17:26:00+02:00,2025-08-08 16:01:00+02:00,SHORT,6364.75,6405.25,-40.5,-202.5,opposite_signal,5
2025-08-08 16:00:00+02:00,2025-08-08 16:11:00+02:00,LONG,6401.5,6406.5,5.0,25.0,time_exit,10
2025-08-08 16:10:00+02:00,2025-08-08 16:21:00+02:00,LONG,6409.25,6402.0,-7.25,-36.25,time_exit,10
2025-08-08 16:20:00+02:00,2025-08-08 16:31:00+02:00,LONG,6404.5,6409.25,4.75,23.75,time_exit,10
2025-08-08 16:30:00+02:00,2025-08-08 16:41:00+02:00,LONG,6408.75,6406.5,-2.25,-11.25,time_exit,10
2025-08-08 16:40:00+02:00,2025-08-08 16:51:00+02:00,LONG,6409.75,6403.5,-6.25,-31.25,opposite_signal,10
2025-08-08 16:50:00+02:00,2025-08-08 16:54:00+02:00,SHORT,6404.25,6402.75,1.5,7.5,opposite_signal,3
2025-08-08 16:53:00+02:00,2025-08-08 16:57:00+02:00,LONG,6403.0,6400.75,-2.25,-11.25,opposite_signal,3
2025-08-08 16:56:00+02:00,2025-08-08 17:07:00+02:00,SHORT,6401.5,6404.5,-3.0,-15.0,time_exit,10
2025-08-08 17:06:00+02:00,2025-08-08 17:17:00+02:00,SHORT,6405.0,6403.25,1.75,8.75,time_exit,10
2025-08-08 17:16:00+02:00,2025-08-08 17:27:00+02:00,SHORT,6404.5,6403.5,1.0,5.0,time_exit,10
